si no,LATITUDE,LONGITUDE,District,Elevation,Slope,Rainfall,MinTemp,MaxTemp,Humidity,NDVI,B,Ca,Cu,EC,Fe,K,Mg,Mn,N,Org_C,P,S,Zn,pH
534,12.41593266,75.266131,Kasaragod,201,10.2664,36.26240587,20.70925951,31.7930763,63.35318227,0.59875095,0.107799999,790,4.71999979,0.05,43.79999924,381.6960144,133,61.25249863,630.7600098,1.476439791,26.41744041,2.525000095,3.75999999,5.309999943
535,12.44500828,75.292932,Kasaragod,84,4.160689,36.26240587,20.70925951,31.7930763,63.35318227,0.7716088,0.104599997,204,2.460000038,0.05,17.29999924,327.1520081,228,55.95949936,745.7299805,2.539999962,6.21600008,6.081250191,2.269999981,6.070000172
536,12.5310154,75.141947,Kasaragod,170,5.547545,4.674611181,22.31491978,32.16681034,63.33722783,0.64007527,0.090000004,120,3.519999981,0.05,25.20000076,150.9799957,204,25.87000084,605.3900146,1.629999995,6.539999962,4.340000153,8.140000343,5.179999828
537,12.62420082,75.112354,Kasaragod,83,2.9957266,6.426622629,21.62294659,32.6490649,62.35124964,0.79358685,0.239999995,230,3.25,0.06,34.70000076,124.0999985,708,25.98999977,585.7700195,1.299999952,9.920000076,2.539999962,5.190000057,6.28000021
538,12.30800056,75.329959,Kasaragod,78,7.990275,23.5716567,21.41198331,31.54112607,66.61067622,0.787475,0.098200001,500,2.829999924,0.06,30.20000076,184.6880035,132,31.58527946,591.9199829,1.620000005,113.7472,5.29562521,2.799999952,5.510000229
539,12.45556068,75.129858,Kasaragod,139,4.160724,6.771365464,22.31491978,32.16681034,63.33722783,0.29484218,0.079999998,515,5.730000019,0.06,83.62000275,85.48000336,128,34.84999847,500.8299866,0.689999998,30.01000023,30.75,8.369999886,5.429999828
540,12.45701027,75.09590912,Kasaragod,111,2.7802885,3.412948281,22.31491978,32.16681034,63.33722783,0.54734814,0.119999997,620,5.380000114,0.06,48.61999893,130.3699951,240,29.85000038,576.8200073,0.779999971,85.41000366,3.25999999,7.920000076,6.210000038
541,12.36785984,75.190502,Kasaragod,271,19.30444,11.35740897,21.77575126,31.36729426,65.12993139,0.73369485,0.829999983,235,2.900000095,0.07,17.5,404.9500122,108,48.95999908,698.8300171,0.939999998,33.86000061,20.04000092,3.559999943,5.349999905
542,12.5527401,75.24947357,Kasaragod,124,7.2777653,9.559358358,21.13666319,33.23584716,59.9927586,0.6644109,0.114600003,120,2.49000001,0.07,21.79999924,209.1040039,144,36.95849991,698.7199707,1.649999976,2.967999935,5.732500076,2.319999933,5.199999809
543,12.291852,75.403154,Kasaragod,61,4.824599,44.15091681,19.48611182,31.52498122,65.7954982,0.6656271,0.375,314,6.111000061,0.07,32.52280045,410.5799866,100.2857971,42.2965889,309.4500122,2.960000038,313.480011,17.39259911,3.940000057,5.559999943
544,12.36009312,75.11100006,Kasaragod,19,2.992966,5.434472998,23.26681303,31.19593858,66.01158518,0.53587216,0.090000004,560,1.919999957,0.07,25.5,127.3700027,130,23.96999931,730.5800171,1.559999943,4.650000095,5.53000021,2.630000114,5.869999886
545,12.36567307,75.140482,Kasaragod,46,5.2942343,5.434472998,23.26681303,31.19593858,66.01158518,0.45401058,0.100000001,400,3.160000086,0.07,6.699999809,290.8399963,97,22.26000023,707.9899902,0.99000001,5.519999981,2.730000019,3.529999971,5.980000019
546,12.24003792,75.21195984,Kasaragod,41,11.147757,4.622214481,23.45392288,30.41379305,69.43064263,0.5787853,0.100000001,730,6.980000019,0.07,70.40000153,298.1000061,131,27.95999908,612.6300049,1.450000048,377.5400085,2.890000105,2.670000076,4.710000038
547,12.30469418,75.178627,Kasaragod,83,4.6969757,9.267488152,22.71173748,30.7236938,67.75429208,0.63698167,0.100000001,515,6.539999962,0.07,97.5,176.8699951,123,68.95999908,950.9199829,4.210000038,30.78000069,25.04000092,7.539999962,5.269999981
548,12.50570011,75.08930969,Kasaragod,97,2.1133897,3.091801628,22.31491978,32.16681034,63.33722783,0.541622,0.109999999,580,1.940000057,0.07,10.80000019,191.6300049,312,25.14999962,570.7199707,0.779999971,14.35000038,2.430000067,3.109999895,6.329999924
549,12.40075588,75.19593048,Kasaragod,85,8.277666,13.42759168,21.77575126,31.36729426,65.12993139,0.715399,0.109999999,285,3.660000086,0.07,13.19999981,266.7399902,103,34.88000107,610.8200073,0.879999995,4.880000114,2.869999886,3.140000105,5.579999924
550,12.52287483,75.101628,Kasaragod,67,5.973992,4.674611181,22.31491978,32.16681034,63.33722783,0.539399,0.109999999,370,2.519999981,0.07,24.10000038,220.6799927,132,42.86000061,630.2299805,0.910000026,44.88000107,6.099999905,3.660000086,5.090000153
551,12.57148743,75.102566,Kasaragod,69,5.6273327,5.014937043,21.62294659,32.6490649,62.35124964,0.7544779,0.109999999,380,2.079999924,0.07,26.29999924,231.9499969,216,31.53000069,585.2399902,1.309999943,1.889999986,2.5,3.940000057,5.809999943
552,12.51217556,75.059368,Kasaragod,85,7.9924307,3.091801628,22.31491978,32.16681034,63.33722783,0.4809046,0.109999999,500,2.569999933,0.07,55.59999847,117.0400009,348,18.95999908,606.2700195,1.529999971,19.22999954,4.260000229,2.880000114,5.440000057
553,12.59324074,75.07997894,Kasaragod,85,8.834871,3.710696191,21.62294659,32.6490649,62.35124964,0.6035242,0.109999999,420,6.989999771,0.07,44.79999924,88.26000214,348,27,800.6199951,1.980000019,2.619999886,1.679999948,3.99000001,6.159999847
554,12.46140003,75.1529007,Kasaragod,215,2.1130989,18.28312898,21.24592375,32.38534041,62.15598578,0.30480266,0.119999997,600,5.820000172,0.07,56.88000107,138.8500061,128,50.22999954,400.5400085,0.519999981,44.22999954,4.019999981,8.350000381,5.989999771
555,12.38010025,75.10122681,Kasaragod,64,0,5.434472998,23.26681303,31.19593858,66.01158518,0.5008594,0.129999995,340,3.079999924,0.07,15.30000019,176.8899994,129,36.18999863,569.9799805,1.210000038,9.720000267,3.160000086,5.070000172,6.849999905
556,12.52043247,75.098736,Kasaragod,36,1.8543341,3.091801628,22.31491978,32.16681034,63.33722783,0.4608724,0.129999995,460,1.940000057,0.07,17,178.8200073,128,40.97000122,730.7600098,1.210000038,15.23999977,4.010000229,3.970000029,5.590000153
557,12.70804024,74.93063354,Kasaragod,47,3.9085155,2.68382284,23.6300685,30.91303301,66.81634028,0.208978,0.150000006,479,1.919999957,0.07,13.80000019,135.7299957,129,31.86000061,620.7700195,1.25,7.260000229,3.839999914,3.289999962,6.179999828
558,12.4606123,75.267552,Kasaragod,76,8.053084,19.26384878,20.15259573,32.75204489,60.53343866,0.7208886,0.074000001,230,2.75,0.08,23.89999962,177.9456024,129,90.52825165,687.9699707,2.230366492,124.9057617,10.02499962,3.970000029,4.989999771
559,12.47776222,75.221965,Kasaragod,225,3.823959,19.41165137,21.24592375,32.38534041,62.15598578,0.74208075,0.124200001,260,2.25999999,0.08,18.29999924,172.5919952,180,58.95985031,700.8300171,2.309999943,5.611199856,4.35812521,3.789999962,5.130000114
560,12.2798996,75.19522858,Kasaragod,17,5.8593354,4.120336488,22.71173748,30.7236938,67.75429208,0.52198786,0.090000004,889,8.920000076,0.08,40.36999893,238.9400024,128,52.52999878,611.8300171,1.74000001,0.469999999,1.269999981,3.960000038,6.010000229
561,12.56418419,75.166138,Kasaragod,177,18.813295,9.870614409,21.13666319,33.23584716,59.9927586,0.6908547,0.090000004,150,2.869999886,0.08,19.10000038,145.7299957,129,24.79999924,687.3699951,2.579999924,5.760000229,3.650000095,7.929999828,5.239999771
562,12.45020008,75.1257019,Kasaragod,125,6.2274137,6.771365464,22.31491978,32.16681034,63.33722783,0.74240774,0.100000001,535,5.829999924,0.08,80.26999664,133.7299957,129,27.87999916,470.8200073,0.670000017,53.29000092,3.279999971,8.130000114,5.53000021
563,12.41471958,75.18995667,Kasaragod,158,5.7537565,13.42759168,21.77575126,31.36729426,65.12993139,0.6785235,0.100000001,305,3.25999999,0.08,10.5,243.7400055,97,22.95999908,640.7199707,0.970000029,5.210000038,2.640000105,3.539999962,5.699999809
564,12.23765278,75.207273,Kasaragod,62,0.92740995,4.622214481,23.45392288,30.41379305,69.43064263,0.640884,0.100000001,805,6.429999828,0.08,45.90000153,245.6199951,129,20,590.4500122,1.320000052,21.36000061,0.25,2.140000105,5.349999905
565,12.37909985,75.10949707,Kasaragod,69,2.993164,5.434472998,23.26681303,31.19593858,66.01158518,0.66485626,0.100000001,470,1.860000014,0.08,41.20000076,183.2299957,128,48.97000122,750.8400269,1.809999943,5.269999981,4.760000229,2.430000067,5.570000172
566,12.54850006,75.22389984,Kasaragod,76,2.9949305,22.12349415,21.24592375,32.38534041,62.15598578,0.3610771,0.100000001,100,2.339999914,0.08,26.89999962,188.6399994,131,38.95849991,800.6199951,1.980000019,2.839999914,5.150000095,2.210000038,5.099999905
567,12.40861797,75.180854,Kasaragod,123,15.506195,13.42759168,21.77575126,31.36729426,65.12993139,0.6430034,0.109999999,255,3.309999943,0.08,15.5,269.7099915,99,31.48999977,633.7199707,0.949999988,5.179999828,2.910000086,2.99000001,5.389999866
568,12.38354397,75.178636,Kasaragod,160,2.99321,11.35740897,21.77575126,31.36729426,65.12993139,0.60586673,0.109999999,335,3.180000067,0.08,9.100000381,263.9200134,98,27.59000015,640.7199707,0.970000029,7.619999886,2.190000057,3.170000076,5.789999962
569,12.58342648,75.079512,Kasaragod,118,2.65392,3.710696191,21.62294659,32.6490649,62.35124964,0.2883895,0.109999999,400,6.829999924,0.08,45.20000076,127.5299988,129,22.59000015,698.7199707,1.649999976,7.960000038,1.789999962,3.440000057,6.150000095
570,12.42016029,75.09893799,Kasaragod,88,7.568815,1.801133871,23.26681303,31.19593858,66.01158518,0.31127313,0.109999999,500,1.710000038,0.08,30.70000076,147.7299957,204,23.54000092,760.3800049,1.899999976,5.110000134,5.090000153,3.25999999,5.699999809
571,12.70713997,74.92053223,Kasaragod,36,2.8499827,2.68382284,23.6300685,30.91303301,66.81634028,0.5450172,0.119999997,455,1.74000001,0.08,19.20000076,128.6399994,129,31,570.9699707,0.769999981,7.75,4.739999771,2.859999895,6.110000134
572,12.41928005,75.158322,Kasaragod,74,20.292233,13.42759168,21.77575126,31.36729426,65.12993139,0.79408073,0.119999997,260,3.710000038,0.08,15.10000038,227.3800049,99,28.95999908,576.6199951,0.779999971,4.820000172,2.940000057,3.359999895,5.400000095
573,12.49781036,75.147118,Kasaragod,76,6.22765,6.771365464,22.31491978,32.16681034,63.33722783,0.6090566,0.119999997,522,2.630000114,0.08,16.10000038,178.9100037,129,38.95999908,588.1199951,0.829999983,15.01000023,2.720000029,3.829999924,5.96999979
574,12.6360657,75.110418,Kasaragod,172,6.8741593,6.426622629,21.62294659,32.6490649,62.35124964,0.7056192,0.119999997,180,3.029999971,0.08,41.29999924,89.48999786,252,27.86000061,569.9799805,1.210000038,9.579999924,4.989999771,5.610000134,5.920000076
575,12.30882168,75.154987,Kasaragod,61,10.096576,9.267488152,22.71173748,30.7236938,67.75429208,0.58652,0.119999997,518,5.829999924,0.08,97.80000305,167.7100067,120,74.52999878,630.9699707,1.320000052,25.79000092,7.829999924,7.260000229,5.260000229
576,12.23356342,75.221364,Kasaragod,71,1.3267587,4.622214481,23.45392288,30.41379305,69.43064263,0.5333092,0.119999997,755,7.360000134,0.08,63.59999847,295.8200073,130,25.95999908,630.5200195,1.559999943,9.409999847,2.839999914,2.420000076,4.980000019
577,12.4094696,75.09571838,Kasaragod,90,7.438382,1.801133871,23.26681303,31.19593858,66.01158518,0.441239,0.119999997,460,2.430000067,0.08,53.40000153,122.9400024,131,18.95999908,747.7199707,1.75999999,4.71999979,4.289999962,3.109999895,5.53000021
578,12.58537292,75.033589,Kasaragod,98,2.995316,3.835700601,22.63438384,31.75866799,64.09750747,0.6474164,0.119999997,160,7,0.08,78.80000305,142.1999969,132,28.95999908,800.6699829,1.980000019,26.93000031,0.389999986,3.00999999,4.489999771
579,12.6298399,75.09539795,Kasaragod,167,4.161308,5.014212191,21.62294659,32.6490649,62.35124964,0.29137087,0.150000006,238,3.75,0.08,30.39999962,199.2299957,131,32.95999908,623.7600098,1.50999999,11.25,3.630000114,5.230000019,6.320000172
580,12.31070995,75.33509827,Kasaragod,68,6.7659726,23.5716567,21.41198331,31.54112607,66.61067622,0.604071,0.050999999,401,2.74000001,0.09,67.98000336,187.3899994,130,25.85820007,578.2600098,1.243523316,4.993500233,1.201300025,3.0448989,5.019999981
581,12.58423138,75.174063,Kasaragod,108,11.400851,9.870614409,21.13666319,33.23584716,59.9927586,0.7372867,0.109399997,240,1.799999952,0.09,16.10000038,189.8399963,312,40.28585052,824.6300049,1.330000043,2.923199892,9.875,3.480000019,5.369999886
582,12.39610195,75.278085,Kasaragod,132,3.8238852,34.32350159,20.70925951,31.7930763,63.35318227,0.5579183,0.130400002,800,8.31000042,0.09,28.39999962,773.9199829,240,42.28279877,740.2800293,1.590000033,3.001600027,65.35624695,1.909999967,5.989999771
583,12.43213463,75.2367468,Kasaragod,196,17.093077,24.37086403,21.77575126,31.36729426,65.12993139,0.7758571,0.178200006,760,4.730000019,0.09,47.70000076,136.281601,132,57.985852,670.5200195,1.727748691,58.73392105,6.8125,4.260000229,5.130000114
584,12.59415531,75.073062,Kasaragod,86,14.5492525,3.710696191,21.62294659,32.6490649,62.35124964,0.76504135,0.219999999,320,7.28000021,0.09,50.90000153,180.5399933,372,25.98999977,730.8200073,1.75,8.970000267,2.74000001,3.25999999,6.019999981
585,12.38153934,75.277937,Kasaragod,98,0.92740995,34.32350159,20.70925951,31.7930763,63.35318227,0.53426105,0.099600002,540,3.920000076,0.09,47.09999847,718.367981,156,58.598952,759.2700195,1.840000033,7.145599842,3.209374905,3.190000057,5.539999962
586,12.35712719,75.244767,Kasaragod,172,8.036378,28.88465345,21.77575126,31.36729426,65.12993139,0.71018183,0.07,958,7.429999828,0.09,50.99000168,245.8300018,128,35.95000076,700.210022,2.74000001,3.519999981,1.230000019,3.849999905,5.409999847
587,12.36676884,75.272161,Kasaragod,140,18.795847,34.32350159,20.70925951,31.7930763,63.35318227,0.63486797,0.079999998,597,3.650000095,0.09,45.79999924,762.2800293,128,47.96900177,700.2000122,1.320000052,1.309999943,0.319999993,3.984740019,5.559999943
588,12.27797985,75.182438,Kasaragod,50,6.7331266,4.120336488,22.71173748,30.7236938,67.75429208,0.47584715,0.079999998,805,8.81000042,0.09,54.63000107,249.7799988,126,51.52999878,599.3800049,1.340000033,2.75,0.340000004,4.130000114,5.239999771
589,12.3702774,75.262499,Kasaragod,205,5.859545,34.32350159,20.70925951,31.7930763,63.35318227,0.6723855,0.090000004,539,3.950000048,0.09,59.70000076,716.2800293,128,52.95289993,716.3800049,1.450000048,1.269999981,0.25999999,3.2141748,5.389999866
590,12.45851994,75.126831,Kasaragod,98,8.831554,6.771365464,22.31491978,32.16681034,63.33722783,0.627482,0.100000001,585,5.340000153,0.09,61.90000153,147.9499969,131,31.53000069,450.6799927,0.610000014,39.29000092,4.920000076,8.409999847,5.880000114
591,12.24666595,75.195599,Kasaragod,25,0.94900215,3.21086172,23.45392288,30.41379305,69.43064263,0.50659305,0.100000001,919,7.78000021,0.09,29.5,269.8699951,128,25.95999908,613.2399902,1.460000038,15.64000034,0.119999997,2.289999962,5.900000095
592,12.54067898,75.160534,Kasaragod,197,8.488772,10.55042303,21.24592375,32.38534041,62.15598578,0.7212328,0.100000001,240,3.480000019,0.09,14.60000038,118.5199966,128,46.99000168,730.8200073,1.75,5.869999886,4.090000153,7.679999828,5.559999943
593,12.51054001,75.206461,Kasaragod,71,3.905681,22.12349415,21.24592375,32.38534041,62.15598578,0.58591217,0.100000001,150,2.150000095,0.09,17.79999924,187.4299927,132,41.95981979,746.8200073,1.840000033,2.869999886,5.619999886,2.140000105,5.360000134
594,12.46014881,75.208468,Kasaragod,240,11.816493,19.41165137,21.24592375,32.38534041,62.15598578,0.5451534,0.100000001,420,2.450000048,0.09,8.699999809,154.6199951,131,55.95584869,721.7299805,2.440000057,4.760000229,4.920000076,3.309999943,5.9884874
595,12.69386864,74.971121,Kasaragod,24,7.6145425,3.936818935,22.54869706,31.94118337,63.48428095,0.6593109,0.109999999,520,9.949999809,0.09,28.60000038,122.5299988,324,40.95999908,300.7200012,0.560000002,4.559999943,1.889999986,2.00999999,5.920000076
596,12.46133995,75.15447235,Kasaragod,218,9.242413,18.28312898,21.24592375,32.38534041,62.15598578,0.75234956,0.109999999,582,6.010000229,0.09,62.65000153,131.3899994,133,22.84000015,540.8200073,0.709999979,46.52999878,3.75999999,7.840000153,5.849999905
597,12.6823597,74.988128,Kasaragod,109,3.908146,3.936818935,22.54869706,31.94118337,63.48428095,0.69008404,0.109999999,825,9.430000305,0.09,22.89999962,139.6399994,129,25.98999977,723.4500122,0.99000001,7.989999771,2.24000001,6.550000191,6.139999866
598,12.27025032,75.181803,Kasaragod,18,5.9716854,4.120336488,22.71173748,30.7236938,67.75429208,0.6984944,0.109999999,925,6.940000057,0.09,28.60000038,245.9400024,131,30.95999908,569.9799805,1.210000038,7.829999924,2.930000067,2.99000001,5.980000019
599,12.37150002,75.16210175,Kasaragod,130,3.3649032,11.35740897,21.77575126,31.36729426,65.12993139,0.18339646,0.109999999,375,3.329999924,0.09,7.699999809,265.7799988,102,21.29000092,795.7199707,1.25,5.71999979,2.829999924,3.089999914,5.929999828
600,12.41250038,75.2406311,Kasaragod,133,8.03786,24.37086403,21.77575126,31.36729426,65.12993139,0.6213152,0.109999999,960,4.659999847,0.09,14.69999981,334.7600098,129,81.59500122,602.7399902,1.269999981,9.06000042,6.869999886,4.25,5.966358185
601,12.26506138,75.171636,Kasaragod,13,8.739408,4.120336488,22.71173748,30.7236938,67.75429208,0.7473171,0.109999999,930,7.53000021,0.09,28.29999924,268.9100037,132,32.84999847,576.7199707,1.279999971,23.95999908,1.629999995,2.549999952,5.989999771
602,12.26720047,75.17668915,Kasaragod,12,7.613779,4.120336488,22.71173748,30.7236938,67.75429208,0.7082008,0.109999999,790,7.110000134,0.09,52.59999847,275.9100037,127,24.25,630.5200195,1.559999943,8.210000038,0.430000007,3.089999914,5.210000038
603,12.50862598,75.103717,Kasaragod,84,13.969371,4.674611181,22.31491978,32.16681034,63.33722783,0.487042,0.119999997,525,2.529999971,0.09,15.89999962,176.7799988,131,58.95999908,548.9199829,0.720000029,14.85999966,4.230000019,3.99000001,5.980000019
604,12.56984425,75.24250031,Kasaragod,97,5.682893,9.559358358,21.13666319,33.23584716,59.9927586,0.20142807,0.119999997,210,2.75999999,0.09,9.5,176.8300018,129,46.852852,700.8099976,1.659999967,2.900000095,4.809999943,2.130000114,5.755199909
605,12.71674824,74.949205,Kasaragod,78,0.9507266,2.68382284,23.6300685,30.91303301,66.81634028,0.7727133,0.129999995,340,1.25,0.09,31.70000076,206.5299988,324,43.90000153,600.4299927,1.120000005,0.150000006,3.660000086,3.49000001,5.789999962
606,12.709589,74.915937,Kasaragod,25,4.999456,2.68382284,23.6300685,30.91303301,66.81634028,0.4637224,0.129999995,430,1.820000052,0.09,23.29999924,154.3699951,130,25.06999969,660.6199951,1.419999957,5.119999886,2.940000057,3.25,6.010000229
607,12.35303593,75.186269,Kasaragod,146,6.68028,11.35740897,21.77575126,31.36729426,65.12993139,0.6024418,0.150000006,560,2.779999971,0.09,8.199999809,275.7099915,107,58.86000061,634.5200195,0.920000017,4.71999979,2.900000095,3.25,6.849999905
608,12.30555153,75.329406,Kasaragod,68,5.677155,23.5716567,21.41198331,31.54112607,66.61067622,0.74898154,0.050000001,489,2.519999981,0.1,26.15999985,200.3800049,127,35.2981987,566.2800293,1.179999948,6.28000021,0.280000001,2.745660067,5.590000153
609,12.27680016,75.19460297,Kasaragod,17,4.666472,4.120336488,22.71173748,30.7236938,67.75429208,0.6385135,0.07,854,7.909999847,0.1,49.99000168,238.5399933,125,55.84999847,685.3499756,2.569999933,1.840000033,0.860000014,4.329999924,5.559999943
610,12.37300014,75.32759857,Kasaragod,166,24.74224,37.13432932,20.70925951,31.7930763,63.35318227,0.7790278,0.109999999,610,2.339999914,0.1,18.60000038,193.8200073,129,29.18000031,725.8599854,1.50999999,5.46999979,4.869999886,2.190000057,6.079999924
611,12.39681911,75.196423,Kasaragod,135,11.813964,11.35740897,21.77575126,31.36729426,65.12993139,0.46068326,0.119999997,400,3.170000076,0.1,6.699999809,294.8999939,108,28.95999908,795.7199707,1.25,13.06000042,3.059999943,19.70000076,5.980000019
612,12.37520981,75.11119843,Kasaragod,80,5.627213,5.434472998,23.26681303,31.19593858,66.01158518,0.35925463,0.119999997,620,1.649999976,0.1,17.89999962,168.7100067,128,30.25,700.2800293,1.269999981,4.480000019,5.21999979,1.820000052,6.110000134
613,12.60101032,75.13868713,Kasaragod,88,7.0550213,6.426622629,21.62294659,32.6490649,62.35124964,0.7281986,0.119999997,355,3.289999962,0.1,58.40000153,296.7399902,129,29.48999977,628.6300049,1.529999971,31.71999931,2.160000086,3.460000038,5.329999924
614,12.75250053,74.948019,Kasaragod,93,8.495718,3.978767918,23.05525886,31.20900747,66.9942883,0.42216837,0.129999995,320,7.71999979,0.1,66.47000122,88.36000061,135,28.95000076,573.4199829,0.839999974,8.229999542,3.640000105,5.489999771,4.96999979
615,12.62451363,75.012587,Kasaragod,28,9.898767,3.929985743,22.63438384,31.75866799,64.09750747,0.65219706,0.140000001,380,3.50999999,0.1,48.90000153,157.1399994,396,21.85000038,569.8499756,0.769999981,7.409999847,5.090000153,12.69999981,6.559999943
616,12.44375324,75.27727509,Kasaragod,93,8.277945,36.26240587,20.70925951,31.7930763,63.35318227,0.48465157,0.209999993,855,4.869999886,0.1,22.89999962,367.980011,129,50.2519989,627.6900024,1.460000038,8.449999809,16.82999992,3.279999971,5.760000229
617,12.43558025,75.278025,Kasaragod,174,24.144003,36.26240587,20.70925951,31.7930763,63.35318227,0.56639045,0.230000004,1050,5.119999886,0.11,12.69999981,298.0700073,128,39.98548126,620.8099976,1.419999957,8.640000343,21.82999992,3.420000076,6.269999981
618,12.37460995,75.26605225,Kasaragod,230,21.85226,34.32350159,20.70925951,31.7930763,63.35318227,0.73120654,0.071999997,628,3.859999895,0.11,60.59999847,678.8300171,133,51.52582169,760.3800049,1.896373057,1.434100032,0.903100014,4.11855793,5.380000114
619,12.36847973,75.24458313,Kasaragod,157,2.993052,28.88465345,21.77575126,31.36729426,65.12993139,0.6389299,0.059999999,824,7.820000172,0.11,48.24000168,264.6400146,130,47.86000061,610.7299805,1.590000033,1.669999957,0.310000002,3.849999905,5.820000172
620,12.28374863,75.17654419,Kasaragod,58,5.082368,4.120336488,22.71173748,30.7236938,67.75429208,0.32621148,0.07,897,7.760000229,0.11,58.88000107,274.3599854,129,39.52999878,610.3200073,1.360000014,0.949999988,0.850000024,4.119999886,5.119999886
621,12.53056622,75.177988,Kasaragod,100,14.484911,10.55042303,21.24592375,32.38534041,62.15598578,0.77380407,0.079999998,180,3.170000076,0.11,18.02000046,143.9400024,130,50.29000092,610.3400269,1.690000057,6.190000057,4.869999886,7.769999981,5.369999886
622,12.59319973,75.08894348,Kasaragod,89,16.03557,3.710696191,21.62294659,32.6490649,62.35124964,0.82434267,0.100000001,540,6.239999771,0.11,78.65000153,107.3700027,131,39.95999908,412.5899963,0.540000021,42.11999893,2.980000019,8.289999962,5.519999981
623,12.25155354,75.221483,Kasaragod,89,3.7908823,5.844177008,22.71173748,30.7236938,67.75429208,0.68726116,0.100000001,835,7.25,0.11,42.70000076,290.3800049,132,21.59000015,568.2299805,1.190000057,8.930000305,1.929999948,3.140000105,5.519999981
624,12.3872246,75.106146,Kasaragod,71,2.0829947,5.434472998,23.26681303,31.19593858,66.01158518,0.5554807,0.100000001,580,1.960000038,0.11,23.70000076,127.8399963,128,36.15999985,700.9299927,1.269999981,5.820000172,5.920000076,2.869999886,5.940000057
625,12.26729965,75.17739868,Kasaragod,15,2.7802885,4.120336488,22.71173748,30.7236938,67.75429208,0.66900045,0.100000001,910,6.349999905,0.11,31.79999924,287.3200073,129,18.95999908,614.3499756,1.440000057,15.38000011,0.270000011,3.25999999,5.869999886
626,12.27199554,75.184453,Kasaragod,16,0.92740995,4.120336488,22.71173748,30.7236938,67.75429208,0.6556715,0.100000001,850,7.849999905,0.11,40.20000076,265.7399902,130,30.15999985,628.6300049,1.529999971,9.369999886,3.279999971,3.140000105,5.579999924
627,12.3596096,75.13945007,Kasaragod,88,14.876651,5.434472998,23.26681303,31.19593858,66.01158518,0.71328574,0.109999999,340,2.970000029,0.11,8.899999619,267.7399902,99,18.59000015,732.210022,1.159999967,5.760000229,2.670000076,3.170000076,5.800000191
628,12.34300613,75.17412567,Kasaragod,184,7.9906416,9.267488152,22.71173748,30.7236938,67.75429208,0.64741457,0.119999997,500,3.089999914,0.11,3.900000095,278.5499878,102,65.95999908,587.4199829,0.819999993,6.980000019,2.710000038,3.690000057,6.550000191
629,12.58640003,75.0791626,Kasaragod,119,2.9377086,3.710696191,21.62294659,32.6490649,62.35124964,0.39765555,0.119999997,380,7.309999943,0.11,47.70000076,174.6199951,131,20.96999931,746.8200073,1.840000033,8.529999733,1.940000057,3.660000086,6.110000134
630,12.57262135,75.245364,Kasaragod,91,2.6538627,9.559358358,21.13666319,33.23584716,59.9927586,0.5447263,0.129999995,240,2.170000076,0.11,6.900000095,189.2100067,129,23.96960068,650.8200073,1.230000019,2.650000095,5.730000019,2.420000076,5.887852192
631,12.51220989,75.05343628,Kasaragod,91,3.7047918,3.091801628,22.31491978,32.16681034,63.33722783,0.19189017,0.140000001,615,2.880000114,0.11,28.39999962,406.3399963,372,19.97999954,600.3200073,1.419999957,12.69999981,3.400000095,2.789999962,6.03000021
632,12.29226971,75.36856079,Kasaragod,53,9.233276,14.72337395,19.48611182,31.52498122,65.7954982,0.74250096,0.068999998,487,2.940000057,0.12,62.18000031,199.3099976,129,27.85285187,426.7200012,0.621761658,0.502300024,0.369899988,2.859600067,5.070000172
633,12.42521954,75.250797,Kasaragod,102,3.9044716,36.26240587,20.70925951,31.7930763,63.35318227,0.63141555,0.112599999,940,4.940000057,0.12,16.29999924,224.1119995,192,34.58499908,600.7299805,1.24000001,6.518400192,6.203750134,4.239999771,5.900000095
634,12.37119961,75.24607086,Kasaragod,135,3.364902,28.88465345,21.77575126,31.36729426,65.12993139,0.6803429,0.039999999,801,7.690000057,0.12,53.97999954,233.6499939,120,58.27999878,600.8200073,1.269999981,0.660000026,0.330000013,4.010000229,5.260000229
635,12.41570663,75.266751,Kasaragod,201,9.455407,36.26240587,20.70925951,31.7930763,63.35318227,0.6696399,0.219999999,1200,4.929999828,0.12,10.80000019,297.4500122,132,42.96900177,628.5499878,1.470000029,9.210000038,21.72999954,2.970000029,7.239999771
636,12.45390129,75.303617,Kasaragod,128,13.673814,33.0605582,20.15259573,32.75204489,60.53343866,0.76755124,0.105400003,135,3.210000038,0.12,65.69999695,394.3295898,110,87.85849762,666.6599731,1.916230366,48.47472,2.162499905,2.430000067,5.150000095
637,12.37506294,75.272576,Kasaragod,114,10.474365,34.32350159,20.70925951,31.7930763,63.35318227,0.75768375,0.079999998,575,4.619999886,0.12,63.90000153,700.2700195,129,45.85219955,742.4899902,1.74000001,1.279999971,1.25,4.114363194,5.329999924
638,12.60120964,75.15110016,Kasaragod,85,1.9000717,13.79916942,21.13666319,33.23584716,59.9927586,0.7881383,0.090000004,385,3.24000001,0.12,24.89999962,308.7200012,129,28.88999939,613.2399902,1.460000038,33.81999969,1.860000014,3.700000048,5.829999924
639,12.51417255,75.12260437,Kasaragod,107,2.653554,4.674611181,22.31491978,32.16681034,63.33722783,0.32859048,0.100000001,570,2.25,0.12,12.69999981,190.8200073,129,61.27999878,635.8099976,0.920000017,13.86999989,4.179999828,3.650000095,6.260000229
